,category,node,prob,rank,novel_title,author
36,3,uiuo.ark+=13960=t71v65g7n,0.4951445046430130,7,"Fatherless Fanny; or, The memoirs of a little mendicant and her benefactors","Reeve, Clara"
37,3,njp.32101068154408,0.4853501184887210,8,Hyperion,"Longfellow, Henry Wadsworth"
38,3,uc2.ark+=13960=t9f47hm13,0.48492127679963000,9,The Bay-path;,"Holland, J. G. (Josiah Gilbert)"
39,3,inu.30000120995638,0.4695072581956610,10,Until the colours fade,"Jeal, Tim"
40,4,pst.000027670989,0.5300971757867580,1,Mr. Lincoln's wife,"Colver, Anne"
41,4,uc2.ark+=13960=t11n8096w,0.5197396366323630,2,The Lady Evelyn,"Pemberton, Max, Sir"
42,4,inu.39000000391446,0.5189498380245620,3,The rat-pit,"MacGill, Patrick"
43,4,wu.89098878499,0.4842842673927160,4,"Three Vassar girls in South America : a holiday trip of three college girls through the southern continent, up the Amazon, down the Madeira, across the Andes, and up the Pacific coast to Panama","Champney, Elizabeth W. (Elizabeth Williams)"
44,4,wu.89058111618,0.4733252011040580,5,Marie Antoinette;,"Tytler, Sarah"
45,4,pst.000005476473,0.47129086755172000,6,Corpse in handcuffs,"Smith, Frank A"
46,4,uc1.32106015004911,0.4701097525265810,7,Finbar's hotel,
47,4,uiuo.ark+=13960=t0000tq23,0.4639282738349110,8,Old Saint Paul's,"Ainsworth, William Harrison"
48,4,mdp.39015055937604,0.4583260659449530,9,A mirror greens in spring,"Sen, Selina"
49,4,mdp.39015063544467,0.4544142521546530,10,"Out of the silence, a novel","Cox, Erle"
50,5,uiuo.ark+=13960=t36119k7x,0.5117611560721990,1,Stratton hill,"Carne, John"
51,5,uc1.32106002151998,0.49913523979074900,2,Myron; a novel,"Vidal, Gore"
52,5,pst.000004786672,0.49467589626520900,3,Twelve Chinks and and a woman,"Chase, James Hadley"
53,5,uc1.b3454992,0.47558179897277800,4,Jamaica white,"Underhill, Harold"
54,5,uc1.32106007688648,0.47048611706562500,5,Complete works,"Thackeray, William Makepeace"
55,5,nnc1.1002356538,0.4611276453331540,6,Two pilgrims; a romance,
56,5,pst.000050297498,0.4481588820817200,7,Paris in the fall,"Hamilton, Tamsin"
57,5,inu.32000014442067,0.44733472427523800,8,"The royal game, Amok, Letter from an unknown woman","Zweig, Stefan"
58,5,uc2.ark+=13960=t4cn71w4h,0.4460861949652820,9,The eastern hunters,"Newall, J. T"
59,5,wu.89099752115,0.43340027798056800,10,Granite,"Henham, Ernest G. (Ernest George)"
